timestep,ep_rew_mean,ep_rew_std,ep_len_mean,checkpoints_reached,lava_fraction,timeout_fraction,explained_variance,entropy_loss
2048,-554.1789615714285,276.4598611830122,271.57142857142856,1.70166015625,0.0,0.0,nan,nan
4096,-264.8771935,243.0449051309018,255.0,1.46728515625,0.0,0.0,-0.00046372413635253906,-1.7851952023804187
6144,-547.1898075,222.14820348603115,350.1666666666667,2.43359375,0.0,0.0,0.015796959400177002,-1.7764020968228578
8192,-325.55632375,365.8247398014826,254.0,1.9013671875,0.0,0.0,0.012886643409729004,-1.769980365037918
10240,-396.7039055,220.81109383635473,300.1666666666667,2.345703125,0.0,0.0,0.03739243745803833,-1.7628239519894122
12288,-640.5583451666666,206.57990512861124,397.0,2.87109375,0.0,0.0,0.045352160930633545,-1.7650077376514672
14336,-25.41914566666665,332.17155662969105,329.3333333333333,2.638671875,0.0,0.0,0.017025768756866455,-1.761116712167859
16384,-263.7328615,219.9231186900855,266.75,1.9287109375,0.0,0.0,0.08151799440383911,-1.7508787970989943
18432,-400.09795175,196.99807560365255,231.0,1.58740234375,0.0,0.0,0.11459410190582275,-1.7472667891532183
20480,-222.92945699999999,605.2394780068529,322.0,2.923828125,0.0,0.0,0.12042862176895142,-1.7358978655189277
22528,-303.6368308,159.62630837388764,376.6,2.9619140625,0.0,0.0,0.08808207511901855,-1.7542908310890197
24576,-273.929354125,203.98238970527066,276.875,2.4501953125,0.0,0.0,0.11089140176773071,-1.7378334082663058
26624,-306.634159,300.83796091734456,292.4,2.39990234375,0.0,0.0,0.1673986315727234,-1.7397844597697258
28672,-414.84835225,287.924596135784,330.125,2.2255859375,0.0,0.0,0.24056488275527954,-1.7332375094294548
30720,-253.6954924285714,429.0159110409166,282.0,2.384765625,0.0,0.0,0.21535301208496094,-1.7247297305613756
32768,-390.5134175,202.05323816438258,300.0,2.3935546875,0.0,0.0,0.17630165815353394,-1.7413112331181764
34816,-560.961386875,312.0890593717259,267.625,1.9599609375,0.0,0.0,0.19758301973342896,-1.722729206085205
36864,-403.740700375,217.37981581112575,281.0,2.1298828125,0.0,0.0,0.17628788948059082,-1.715828862786293
38912,-366.0471611428572,254.8240330058746,287.2857142857143,2.09765625,0.0,0.0,0.21341335773468018,-1.6903676565736532
40960,-300.77869825000005,234.70673403459233,230.25,1.83984375,0.0,0.0,0.2817347049713135,-1.6328657407313585
43008,-620.6531351666666,209.95892839631742,356.1666666666667,2.0048828125,0.0,0.0,0.28833311796188354,-1.6636117681860925
45056,-46.49969262500001,389.45777786763966,263.5,1.974609375,0.0,0.0,0.31464922428131104,-1.6640773046761752
47104,71.28586550000001,494.2042842315228,342.8333333333333,2.189453125,0.0,0.0,0.37032830715179443,-1.629785681888461
49152,-325.742621875,279.457178781618,269.75,1.7353515625,0.0,0.0,0.3252462148666382,-1.6442723978310823
